Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
31-05-2019,43.18180463,43.61306151,42.87796864,42.89757156,108174400,0,0,AAPL
03-06-2019,43.02743916,43.59590905,41.72142366,42.46386719,161584400,0,0,AAPL
04-06-2019,42.98822397,44.06390953,42.76279598,44.01735306,123872000,0,0,AAPL
05-06-2019,45.15429472,45.32826831,44.38489784,44.72793961,119093600,0,0,AAPL
06-06-2019,44.86025849,45.44588221,44.63237781,45.38462448,90105200,0,0,AAPL
07-06-2019,45.70071981,47.02633811,45.51939931,46.59263229,122737600,0,0,AAPL
10-06-2019,46.99938588,47.87169547,46.9528294,47.18806076,104883600,0,0,AAPL
11-06-2019,47.74672648,48.02606158,47.43798885,47.73447418,107731600,0,0,AAPL
12-06-2019,47.5237451,48.01870859,47.38652838,47.58255386,73012800,0,0,AAPL
13-06-2019,47.70752549,48.21963928,47.43799369,47.57275772,86698400,0,0,AAPL
14-06-2019,46.93567699,47.43553846,46.62938832,47.2272644,75046000,0,0,AAPL
17-06-2019,47.26646269,47.77122952,47.08759117,47.50904465,58676400,0,0,AAPL
18-06-2019,48.03832334,49.07725228,47.83249821,48.62639618,106204000,0,0,AAPL
19-06-2019,48.92777357,48.97678274,48.34705147,48.48426819,84496800,0,0,AAPL
20-06-2019,49.09684999,49.15565876,48.52347846,48.87387466,86056000,0,0,AAPL
21-06-2019,48.71215035,49.21446452,48.552878,48.70724869,191202400,0,0,AAPL
24-06-2019,48.64844176,49.04539443,48.5577815,48.65824509,72881600,0,0,AAPL
25-06-2019,48.6214888,48.82486494,47.85209178,47.92070389,84281200,0,0,AAPL
26-06-2019,48.45977132,49.24877126,48.35685877,48.95718384,104270000,0,0,AAPL
27-06-2019,49.0772422,49.39088522,48.90082337,48.94247818,83598800,0,0,AAPL
28-06-2019,48.68274316,48.88367031,48.28334528,48.496521,124442400,0,0,AAPL
01-07-2019,49.78293141,50.10637401,49.16545244,49.38598251,109012000,0,0,AAPL
02-07-2019,49.35168241,49.77313593,49.33943012,49.67512131,67740800,0,0,AAPL
